,ad_creative_link_description,count
0,Donate at JoeBiden.com/victory.,87546
1,Biden for President,82944
2,Join us! Contribute today - every dollar helps!,39496
3,Be a voter in the 2020 election.,31252
4,11:59 p.m. DEADLINE: Sign the petition!,26552
5,Join the fight for universal vote-by-mail by 11:59 p.m. today,25736
6,Vote for Joe Biden,22725
7,Official Democratic poll. Poll eligibility ends at 11:59 p.m.,18852
8,Signature: Missing. Deadline: 11:59 p.m. tonight.,15285
9,Joe Will Rebuild America,13937
10,Vote For Joe Biden,13483
11,Official Democratic Poll: Eligibility expires at 11:59 p.m.,11827
12,YOUR RESPONSE IS MISSING: Who’s your pick for VP?,11693
13,11:59 P.M. DEADLINE: Do you approve of President Trump?,10803
14,Official Democratic poll. Eligibility deadline: 11:59 p.m. tonight.,9868
15,Official Democratic Poll. Eligibility expires at 11:59 p.m.,9758
16,We Need Joe Biden’s Leadership,9747
17,11:59 P.M. DEADLINE: Who’s your pick for VP?,8586
18,Official Democratic Poll. You input needed by 11:59 p.m.,8547
19,Vote To Protect The Animals,7775
20,Protect Your Health Care,7509
21,Joe Will Rebuild Our Economy,7382
22,Every last one of us shares a responsibility to speak out against injustice and hate.,7290
23,Join us! Contribute today.,7283
24,Defeating Trump in November comes down to you. Add your name now to join Team Joe!,7109
25,We need just 83 more people to join us before midnight.,6626
26,Register to vote today!,6569
27,Every dollar matters more than ever. Rush a donation now.,6373
28,We Need Real Leadership,6110
29,11:59 p.m. deadline | Your response is missing,6044
30,We need 78 more concerned Americans to let us know before midnight: Do you approve of Donald Trump?,5785
31,"We’re 96% of the way to our response goal, but we’re still waiting to hear from you.",5465
32,We’re counting on your grassroots support more than ever.,5337
33,Don't miss your chance to be the first to hear Joe's big announcement.,5328
34,Take just 3 minutes to get your ballot to vote from home now!,5148
35,"It’s time to defeat Donald Trump, but we can't win this fight without you.",4851
36,Vote for affordable medicine,4799
37,Can you help?,4765
38,  ,4636
39,We need just 63 more people to let us know before midnight.,4602
40,We're counting on grassroots supporters like you to help us elect Joe Biden.,4188
41,Joe Will Help Us Get Ahead,3754
42,Vote Biden.,3690
43,Join us today! Or donate at joebiden.com/victory,3541
44,Poll eligibility expires at 11:59 p.m. | Urgent poll for Democrats,3505
45,Donate at joebiden.com/victory,3447
46,Vote Biden,3419
47,We need just 83 more people to let us know before midnight.,3400
48,Official Democratic petition | 11:59 p.m. deadline | Sign the petition.,3178
49,We are the United States of America. There is not a single thing we cannot do. Are you with us? Join our campaign to elect Joe Biden today!,3148
50,We need to know where you stand before 11:59 p.m. tonight.,3096
51,Let’s Move Forward,3078
52,We need 159 more responses before midnight: Which Trump puppet is worse?,3028
53,Help Joe Biden win the Democratic nomination for President by signing up to volunteer!,3021
54,Protect Your Entitlements,3012
55,Make your plan to vote early now!,2859
56,We need to know where YOU stand.,2846
57,We need your help to take the lead. Donate at JoeBiden.com/victory.,2795
58,Answer today! Or donate at joebiden.com/victory,2790
59,"1,047 more signers needed by 11:59 p.m. | Add your name now!",2751
60,Defeating Donald Trump comes down to your urgent support. Donate now.,2602
61,Official Democratic poll | 11:59 p.m. deadline | Tell us your response.,2549
62,Check your voter registration status today!,2544
63,Protect your retirement,2489
64,Donate at joebiden.com/victory.,2279
65,"Our team will defeat Donald Trump come November, and we need you to be part of it.",2269
66,Make Your Voice Heard,2196
67,Joe Biden and Kamala Harris are the dignified leaders we need at the top of the ticket to defeat Donald Trump and mobilize Democrats nationwide this November.,2185
68,Every dollar matters more than ever. Rush a donation now to defeat Donald Trump.,2128
69,Defeating Donald Trump and his Republican allies comes down to your immediate support.,2100
70,Save Social Security,2083
71,Joe is counting on your input before midnight.,2081
72,Defeat COVID | Rebuild Florida,2018
73,11:59 p.m. deadline: Let us know if you’ll be supporting the Democratic nominee.,1951
74,Hope Not Fear,1928
75,Unite America | Vote For Joe,1908
76,Sign the card for Kamala | Midnight deadline,1753
77,Tell us right away:,1742
78,"Please, take just a minute to request your ballot today.",1736
79,Donate at joebiden.com/VICTORY.,1720
80,Your response is missing: Who’s your pick?,1715
81,Your response is missing: Who’s your pick for the Democratic presidential nomination?,1685
82,Donate today to stand alongside Barack Obama and Joe Biden in the fight to defeat Trump.,1518
83,Chip in whatever you can to RSVP,1480
84,𝐒𝐓𝐑𝐀𝐖 𝐏𝐎𝐋𝐋 𝐂𝐋𝐎𝐒𝐈𝐍𝐆>>> 𝐖𝐡𝐨’𝐬 𝐲𝐨𝐮𝐫 𝐩𝐢𝐜𝐤 𝐟𝐨𝐫 𝐭𝐡𝐞 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐭𝐢𝐜 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭𝐢𝐚𝐥 𝐧𝐨𝐦𝐢𝐧𝐞𝐞?,1432
85,"Vote on Tuesday, November 3rd!",1421
86,Take action now! Or donate at joebiden.com/victory,1386
87,Nate Silver recently projected Trump has a 23% chance to win. We need your help to help elect Joe and Dems nationwide. Donate at JoeBiden.com/victory.,1369
88,Every dollar helps us turn out more voters in the only poll that matters: the general election. Donate at JoeBiden.com/victory.,1349
89,We're counting on you to be one of the 197 signatures needed before midnight.,1347
90,¡Hagan un plan para votar temprano ahora!,1338
91,Add your voice today. Or donate at joebiden.com/victory,1329
92,We need you with us in this fight.,1205
93,Join Team Joe today!,1186
94,Make your plan to vote today!,1185
95,"Coronavirus, the economy, climate change — let us know what you think. Then donate at JoeBiden.com/victory.",1160
96,Joe Will Protect Health Care,1144
97,Click below to find out where you can vote early.,1041
98,"Our campaign is the best chance we have to beat Donald Trump, but we need your help to get there. Please donate before midnight.",1030
99,Together we can launch the largest nationwide Get Out the Vote campaign in history. Donate at JoeBiden.com/victory.,1019
100,"We need a big fundraising month to turn this around, and we could use your help. Donate at JoeBiden.com/victory.",1011
101,Bring Our Economy Back,968
102,We're counting on you to be one of the 197 signatures needed before midnight. Or donate at joebiden.com/victory,907
103,Vote For Biden,881
104,We can’t afford to be outraised or outspent heading into the final weeks. Donate at JoeBiden.com/victory.,878
105,Prepare to vote in one of the most consequential elections of our lifetime!,866
106,Are you ready for Nov. 3?,862
107,"Don’t wait, make a plan to vote early!",849
108,Please contribute to ensure we don’t get outraised and outspent against Trump and the Republicans. Donate at JoeBiden.com/victory.,846
109,A blue wave flips the White House AND Senate. Donate at JoeBiden.com/victory.,836
110,"We’re missing 112 responses, and we’re still waiting on your name.",835
111,Help us counter this new surge in Trump advertising. Donate at JoeBiden.com/victory.,832
112,I’m counting on you to make your voting plan now.,810
113,Biden's Jobs Plan,807
114,10 Million New Jobs,787
115,The leader we need,785
116,"We need 740,000 Americans to sign the card, and we're counting on your name.",751
117,"The voters should pick a president, and that president should select a successor to Justice Ginsburg. Donate at JoeBiden.com/victory.",751
118,"Please, click below and take just a couple minutes to sign up to vote by mail this fall.",729
119,We need your help to compete with Trump’s massive fundraising haul so we can elect Democrats up and down the ballot. Donate at JoeBiden.com/victory.,721
120,Make your plan to vote early today!,708
121,Please give $25 now to boost our last-minute advertising and outreach efforts. Donate at JoeBiden.com/victory.,707
122,"All our numbers through October 14 will be made public, and we need to outraise our opponents. Donate at JoeBiden.com/victory.",693
123,"Don’t wait until it’s too late, confirm your registration now.",689
124,Donate now! Or donate at joebiden.com/victory,671
125,We need your help to defeat Trump and the GOP nationwide. Donate at JoeBiden.com/victory.,653
126,We need a big surge right now to ensure victory in November. Donate at JoeBiden.com/victory.,638
127,We still need 87 responses before midnight – and we're counting on yours.,630
128,Fight Climate Change,606
129,Help us blanket the nation in yard signs. Donate at JoeBiden.com/victory.,605
130,Donate at JoeBiden.com/victory to support Democrats up and down the ballot.,599
131,"We need 132 more people to join Team Joe before midnight tonight, and we’re counting on you to be one of them.",596
132,We need your help. Donate at JoeBiden.com/victory.,576
133,"We need your help ASAP. If 10% of readers give, we can turn this around. Donate at JoeBiden.com/victory.",534
134,"Don’t wait, make a plan to vote early now.",530
135,Your donation could make the difference between whether we can reach the voters needed to win in battleground states. Donate at JoeBiden.com/victory.,528
136,"We're looking for 100,000 people to take a stand before midnight, and we hope you'll be one of them.",515
137,We rely on grassroots donations. Donate at JoeBiden.com/victory.,515
138,"If you can, please give $25 to defeat Trump and the GOP. Donate at JoeBiden.com/victory.",501
139,Trump and the RNC have spent and raised more than us. But we can change that. Donate at JoeBiden.com/victory.,456
140,We have to be ready for another $100 million to pour in at the last minute. Donate at JoeBiden.com/Victory.,454
141,Together we can launch the largest nationwide Get-Out-the-Vote campaign in history. Donate at JoeBiden.com/victory.,452
142,We're counting on you to make sure we have the resources to defeat Trump.,443
143,This is our final FEC end-of-quarter deadline where we will publicly report our fundraising numbers. Donate at JoeBiden.com/victory.,439
144,Es hora de prepararnos para sacar a Trump de la Casa Blanca. Eche un vistazo a las opciones para votar en su estado aquí,434
145,Are you a true Michiganite? Take this quiz and find out!,424
146,It’s absolutely critical for us to hit our end-of-month goal. Please donate at JoeBiden.com/victory.,417
147,Your donations at this point could be what makes the difference between victory and defeat. Donate at JoeBiden.com/victory.,413
148,Your donations today could determine the outcome of this election up and down the ballot. Donate at JoeBiden.com/victory.,405
149,Don't wait another day to vote Trump out!,400
150,Donate at JoeBiden.com/victory. No contrib. necessary to win. Void w/ prohibited. Ends 09/29/20. Approx. prz value $60. Subj.to Off. Rules (https://go.joebiden.com/page/content/talk-with-joe-after-the-debate/),397
151,Make a plan to vote early now!,393
152,"Así que por favor, haga clic debajo y tome unos minutos para registrarse para votar por correo este otoño.",381
153,Please rush a contribution now to secure victory against Trump & the GOP. Donate at JoeBiden.com/victory.,376
154,Think you know your home state? Test your knowledge!,375
155,Everybody Counts,367
156,We Need Joe Biden,355
157,Let us know what you think. Then donate at JoeBiden.com/victory.,353
158,Your contribution will help us close the gap to defeat Trump and Republicans in 2020. Donate at JoeBiden.com/victory.,350
159,"If one out of every ten readers donates, we will be able to outraise Donald Trump and the GOP. Donate at JoeBiden.com/victory.",350
160,Send in your responses before midnight,349
161,Please help us bring this country together on Election Day. Donate at JoeBiden.com/victory.,348
162,There's too much at stake in this election and Joe Biden's counting on you.,348
163,Let us know what you think. Then donate at JoeBiden.com/victory,346
164,"If we don’t see a big surge right now, we could lose in Michigan and other battlegrounds. Donate at JoeBiden.com/victory.",314
165,"Join President Obama, Bernie Sanders, and Elizabeth Warren by endorsing Joe for president today!",313
166,We’ve still got a long way to go to defeat Trump and the GOP. Donate at JoeBiden.com/victory.,303
167,"Trump is a figure born of privilege who views people as pawns. But the sacrifices made by my family, and by millions of my fellow veterans, must not be erased.",303
168,"The president has repeatedly disparaged the intelligence of service members, and asked that wounded veterans be kept out of military parades, multiple sources tell The Atlantic.",301
169,Trump is claiming every grassroots dollar will get an 8x match. Can you donate at JoeBiden.com/victory?,299
170,We’re counting on you to sign our petition to protect Obamacare before midnight tonight.,291
171,Pennsylvania and other battlegrounds are key to our victory. Donate at JoeBiden.com/victory.,284
172,Donate at JoeBiden.com/victory,283
173,We have an upcoming FEC deadline and our fundraising numbers will be public soon. Donate at JoeBiden.com/Victory.,279
174,No contrib. necessary to win. Void w/ prohibited. Ends 09/30/20. Approx. prz value $30. Subj.to Off. Rules.,273
175,"We’re missing 112 signatures, and we’re still waiting on your name.",268
176,"If you have strong opinions about vinegar's role in barbecue, this one's for you. Make your other strong opinions known by voting <i>right now</i>. Go to <a href=""https://ad.doubleclick.net/ddm/clk/478812533;285023678;r?https://makeaplan.com/go/?state=NC&partner=bfp_ads&partner_campaign=dcm_...",268
177,"Florida, it's your time to shine! Early voting begins as early as Oct. 19 in some counties and starts statewide Oct. 24 — check out <a href=""https://ad.doubleclick.net/ddm/clk/478812545;285023678;u?https://makeaplan.com/go/?state=FL&partner=bfp_ads&partner_campaign=dcm_285023678_%ecid!"" ta...",266
178,We launched the Beat Trump Fund to overcome Trump and the GOP’s massive spending to win up and down the ballot in November. Donate at JoeBiden.com/victory.,260
179,On finding a VP—and a brother.,257
180,We need just 83 more people to join us before midnight,250
181,It's time for change.,249
182,"Your donation will help us not only defeat Trump, but elect Democrats up and down the ballot. Donate at JoeBiden.com/victory.",248
183,¡Revise hoy su registro de votación!,239
184,"If we don’t see a big surge right now, we could lose in Michigan and other battlegrounds.",234
185,Get ready for Nov. 3!,224
186,Make sure President Obama sees your name on his birthday card!,219
187,Make your plan today!,218
188,100s of former NatSec & military officials want Joe Biden for President,214
189,Join us! Contribute today- every dollar helps!,214
190,Take just a minute to register now!,212
191,"Your contribution will go toward supporting Joe, Kamala, and Democrats nationwide in the fight for the soul of the nation. Donate at JoeBiden.com/victory.",207
192,New tapes revealed Trump knew COVID-19 was deadly and purposely downplayed it. JoeBiden.com/victory.,205
193,We need as many people to donate as possible in the final weeks. Donate at JoeBiden.com/victory.,205
194,Stand with Bernie Sanders and Joe Biden by donating today.,197
195,"This time around, let’s not have any regrets on the morning after Election Day. Donate at JoeBiden.com/victory.",194
196,Your donations can defeat Trump and Republicans up and down the ballot. Donate at JoeBiden.com/victory.,192
197,Your donations are critical in this final stage of the election. Donate at JoeBiden.com/victory.,190
198,John McCain's Widow Picks Joe,187
199,Increasing Republican Support for Biden,185
200,Joe's Presidential Medal of Freedom,185
201,This is not a partisan moment,184
202,"Every donation matters, no matter how much you can give. It adds up. Donate at JoeBiden.com/victory.",183
203,We need you with us.,181
204,We can’t afford to be outspent in the final stretch of this election. Donate at JoeBiden.com/victory.,180
205,Donate at JoeBiden.com/victory. No contrib. necessary to win. Void w/ prohibited. Ends 10/7/20. Approx. prz value $60. Subj. to Off. Rules.,180
206,We’re missing your response: Pick your favorite candidate now!,179
207,Joe will build back better,175
208,"Go for the gold in Silver State trivia. Also, visit <a href=""https://ad.doubleclick.net/ddm/clk/478812536;285023678;u?https://iwillvote.com/NV/?state=NV&partner=bfp_ads&partner_campaign=dcm_285023678_%ecid!"" target=""_blank"">iwillvote.com/nv</a> to make your plan to vote before Nov. 3.",168
209,"Your donation will go toward electing Joe, Kamala, and Democrats across the country. We can’t do this without you. Donate at JoeBiden.com/victory.",163
210,"Show some Pennsylvania pride and vote! Visit <a href=""https://ad.doubleclick.net/ddm/clk/478812554;285023678;u?https://makeaplan.com/go/?state=PA&partner=bfp_ads&partner_campaign=dcm_285023678_%ecid!"" target=""_blank"">makeaplan.com/go</a> to make your voting plan for this election.",162
211,"We’ll be following up with everyone who RSVPs, and sending you the exact date, time, and all the other details. Donate at JoeBiden.com/victory.",160
212,We need as many Americans on board as possible. Donate at JoeBiden.com/victory.,160
213,We can’t afford to be outspent in the final hours of this election. Donate at JoeBiden.com/victory.,159
214, ,159
215,Joe puts working folks first,158
216,We need to have a big fundraising haul heading into this debate. Donate at JoeBiden.com/victory.,156
217,We can’t win without people like you stepping up. Donate at JoeBiden.com/victory.,148
218,We can’t afford to be outraised or outspent. Donate at JoeBiden.com/victory.,148
219,"As a nation, we have an obligation to those who serve in uniform, their families, caregivers, and survivors. Please visit JoeBiden.com/victory.",139
220,Únase a nosotros para votar AHORA.,139
221,We can’t afford to be outraised or outspent. We need every electoral vote we can get. JoeBiden.com/Victory,138
222,"Arizona, the moment is yours to seize. Questions when it comes to voting early in your home state? Check out <a href=""https://makeaplan.com/go/?state=AZ&partner=bfp_ads&partner_campaign=dcm_285023678_0"" target=""_blank"">makeaplan.com/go</a> today to ensure your ballot is set to be submitted a...",138
223,"Paid for by Biden Victory Fund, a joint fundraising committee authorized by Biden for President, the Democratic National Committee and the State Democratic Parties in these states: AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM,...",134
224,Joe is best for the U.S.,134
225,We all must stand against white supremacy and violence. Donate at JoeBiden.com/victory.,132
226,Please give what you can now to defeat Trump and the GOP. Donate at JoeBiden.com/victory.,132
227,We need a BIG surge in grassroots donations in these final moments. Donate at JoeBiden.com/victory.,131
228,Joe has the experience,131
229,Please give $25 to defeat Trump and the GOP. Donate at JoeBiden.com/victory.,129
230,"Please join us for making phone calls across the state. We are hosting these events now through the election! Minnesota is essential to the Midwest going blue. Sign up to make calls to strengthen our DFL community. When you sign up, you will receive the information on how to join the training and ph...",129
231,Cuando proporciona su número de teléfono móvil da su consentimiento para recibir mensajes recurrentes de Biden para Presidente. Cargos por mensaje y datos pueden aplicar. Envíe un texto – HELP – para información. Un texto de STOP lo deja afuera. No se requiere ninguna compra. Términos y Co...,128
232,"As a nation, we have an obligation to those who serve in uniform. Please visit JoeBiden.com/victory.",127
233,¡Haz tu plan hoy!,127
234,We can't defeat Donald Trump without your grassroots support.,127
235,"""Our country is being put to the test ...but I’ve never been more optimistic about America.""",126
236,It’s coming down to the wire. We can’t let Trump’s late fundraising success go unanswered. Donate at JoeBiden.com/victory.,122
237,He Failed the American people,122
238,¡Hoy puede votar!,122
239,We need to catch up. Donate at JoeBiden.com/victory.,122
240,Carly Fiorina Wants Biden,120
241,Show some Pennsylvania pride and vote!,118
242,Michelle Obama Says Biden Best,118
243,"""Joe gets stuff done.""",118
244,He panicked and failed to lead,115
245,"Joe Biden will defeat Donald Trump, but he needs your help to do it. Join Team Joe today!",114
246,This is our final FEC end-of-quarter deadline before Election Day. Donate at JoeBiden.com/victory.,113
247,"Your donations will help us outspend Trump, Pence, and the GOP so we can elect Democrats nationwide. Donate at JoeBiden.com/victory.",113
248,We’re missing your response: Which Democrat do you support?,111
249,"We need YOUR HELP to spread the word about our campaign and secure as many votes as we can for Joe Biden, Kamala Harris, and Democrats up and down the ballot in Nevada! This year, you must go through a virtual canvassing training before your first shift to learn how to canvass and also about the hea...",110
250,Joe's Record Better for U.S.,109
251,Joe's bipartisan support grows,109
252,Help us turn these headlines around and defeat Trump & the GOP on Election Day. Donate at JoeBiden.com/victory.,109
253,His policies are costing us jobs,108
254,"It’s not about the money, it’s about the people. Donate at JoeBiden.com/victory.",108
255,We can’t afford to slow down as we get closer to Election Day. Donate at JoeBiden.com/victory.,108
256,Biden Boosts Economy-Not Trump,108
257,Make a Plan to Vote on Nov. 3,105
258,Plans to Revive Economy,105
259,Every dollar you give means more resources to win. Donate at JoeBiden.com/victory.,104
260,Kasich picks Joe to lead,103
261,It Didn't Have to Be This Way,102
262,Trump has failed to lead,102
263,No contrib. necessary to win. Void w/ prohibited. Ends 10/20/20. Approx. prz value $60. Subj. to Off. Rules.,98
264,We need a big surge right now to ensure victory in November.,98
265,"Your contribution will go towards supporting Joe, Kamala, and Democrats up and down the ballot. Donate at JoeBiden.com/victory.",96
266,Your donations help us defeat Trump and Republicans up and down the ballot. Donate at JoeBiden.com/victory.,96
267,Super PACs are spending BIG in this election to defeat us. We need your help to fight back. Donate at JoeBiden.com/victory.,96
268,"If just 10% of the people reading this give, we could set a new record. Donate at JoeBiden.com/victory.",95
269,Support Spreads Across U.S.,95
270,"As a nation, we have an obligation to our military service members, our veterans, their families, caregivers, and survivors. Please visit JoeBiden.com/victory.",93
271,Go for the gold in Silver State trivia. ,86
272,Help us build this campaign by chipping in today,85
273,Click here to share your personal story with Joe.,85
274,"USA Today: ""Elect Joe Biden.""",84
275,This election is a battle between Park Avenue and Scranton. Donate at JoeBiden.com/victory.,80
276,"Help us raise $500,000 to celebrate Kamala Harris’ birthday before midnight on October 20. Donate at JoeBiden.com/victory.",78
277,"¡No esperes, haz un plan para votar temprano!",74
278,"If we don’t see a big surge right now, we might not be able to close the gap. Donate at JoeBiden.com/victory.",73
279,Joe will rebuild our economy,72
280,Joe will save the economy,70
281,Trump ignored COVID risk,70
282,Ret. Navy Admiral Endorses Joe,69
283,The color of your skin should not put a target on your back.,68
284,Trump is leaving us less safe while raising BIG money for his campaign. Donate at JoeBiden.com/victory.,68
285,"Biden stays, shows dedication",65
