,ad_creative_link_description,count
433,Come hear what's at stake for South Asians during this election with Rep Krishnamoorthi. Then learn about how to leverage your own network to help get out the vote in the South Asian community.,4
434,Come help us elect DFLers up and down the ticket by making sure all of your neighbors vote in this historic election. Please join us for making phone calls across the state. We are hosting these events now through the election! Minnesota is essential to the Midwest going blue. Sign up to make calls....,4
435,We're counting on you to be one of the 71 responses we need before midnight.,4
436,"Join Team Joe for the Wisconsin stop on the Congressional Hispanic Caucus's virtual bus tour! Featuring special guests, this event will center what is at stake for Latinas in this election. Learn about the Biden-Harris plan for Wisconsin's Latino community, celebrate Hispanic Heritage Month, and get...",4
437,"Join Jill Biden for a virtual Early Vote Rally with educators and education support professionals from across Ohio as early voting begins statewide. Hear about the importance of supporting our educators with the resources they need to be successful, and how a Biden/Harris administration will invest....",4
438,"OrganizeNH is hosting a Youth Action Town Hall with Chasten Buttigieg! Join us for a conversation about the issues that are on the ballot for young voters in the Granite State with our special guest and a panel of young activists from the High School Democrats, College Democrats, and recent college....",4
439,"Don't wait, vote early today!",4
440,"Join national leaders, local elected officials, and community leaders for a discussion of Joe Biden’s plan for rural Americans. This is a great opportunity to learn more about how a Biden administration will fight to revitalize rural America. We especially welcome those who have never attended a c...",4
441,"Given the events of the past four years, many, many Americans are ready for a change in the White House. But while those weary of the endless noise, nonsense and",4
442,"Hmong American elected leaders from Minnesota, Wisconsin and California will come together to rally and call to action the Hmong American community to stand united for Joe Biden and Kamala Harris as President and Vice President of the United States of America. Former Minnesota Senator Mee Moua will....",4
443,"Join the next FLOTUS, Jill Biden, for a Saturday morning phonebank. We'll be reaching out to voters across Ohio to ask them to help us make sure we turn Ohio blue this November.",3
444,This is the first time a major presidential candidate has discussed the Cameron Peak Fire by name.,3
445,Join Sister to Sister: Mobilizing in Action each Friday night to make calls into key battleground states so we can win big this November. These phone bank kick offs will feature key community leaders and a training so you can effectively phone bank.,3
446,"Join Team Joe supporters from all across Minnesota on Wednesday October 7th for a debate pre-program and watch party! Hear from members of the Campaign and Democrats up and down the ticket, then join us for a national pre-program and to cheer on Kamala together for a debate watch party livestream.",3
447,There's too much at stake in this election and Joe Biden is counting on you. ,3
448,Welcome to all of our friends from inside or outside of the Lone Star State who want to help us #FlipTexasBlue! Join us to help get out the vote in Texas! Make phone calls to voters to make sure every Democrat in Texas casts their vote. On Friday 10/16 at 6pm CST we will be joined by former Obama sp...,3
449,Women to women phonebank to get out the early vote in Wisconsin. All participants will gain access to our weekend events- including our closing night sessions with Glennon Doyle and Beanie Feldstein. https://womentakingbackwisconsin.com/schedule *NOTE* Glennon Doyle and Beanie Feldstein will not be....,3
450,"As the fastest growing demographic in Texas, there are nearly 800,000 Asian Americans and Pacific Islanders (AAPIs) voters in the Lone Star State. It's all hands on deck to make calls into TX so we can break records with a historic AAPI voter turnout in November! Please join us for an AAPIs for Bide...",3
451,"Join us for our next Soul of the Nation Gospel Concert with recording artist JJ Hairston on Sunday, September 13, at 8pm ET! In addition to great music, we'll hear from faith leaders about how YOU can get involved in supporting Joe and Kamala in the battle for the soul of our nation.",3
452,"What's a stake for women in Colorado and beyond in this election? The answer: EVERYTHING. This is the most important election of our lifetime. We will hear from women leaders across the nation about how much is at stake and what we can do to ensure we elect the Biden-Harris ticket, flip the U.S. Sen...",3
453,"On Thursday, September 10, Jill Biden and Michigan Congresswoman Elissa Slotkin will host a virtual Michigan listening session with educators and parents from Oakland County on how families are navigating the pandemic and returning to learning. Biden and Congresswoman Slotkin will discuss the import...",3
454,Join Biden for President for a national HBCU Homecoming Rally! This rally will cap off a week of events with students and alumni to celebrate the history of civic engagement and political activism at historically black colleges and universities across the country. Sign up today to join us for this r...,3
455,"Voting starts soon in Wisconsin! Students have an enormous and important role to play in this election, both as voters and as mobilizers. Join special guests for this Youth Voter Registration Rally to ensure you're registered to vote and prepared to help your friends & family register, too!",2
456,"Event Details: We choose hope over fear. Unity over division. Truth over lies. We’re uniting America. Join us with Khizr Khan for a virtual event to discuss Donald Trump’s failed leadership and the impact it has had on Iowa, and how Joe Biden and Kamala Harris will build this country back better...",2
457,"Today, Black and Brown communities across the U.S. are actively being targeted with disinformation. Shirleen Mitchell, founder of Stop Violence Against Women, will speak about the rampant disinformation in Black and brown communities. During this training, you will learn how to spot disinformation o...",2
458,"Join Rep. Grace Meng, State Senator Stephanie Chang, and local AAPI leaders for a virtual rally and phone bank in the great state of Michigan! Democrats lost Michigan by less than 11,000 votes in 2016 - just 2 votes per precinct. Asian Pacific Islander Americans are the margin of victory in 2020 - w...",2
459,"Join former Secretary of Health and Human Services Kathleen Sebelius and U.S. Rep. Cheri Bustos at our virtual Rural Roadshow to learn about Joe Biden’s plan to Build Back Better in Georgia and how to vote early! Hosted by Laura Turner Seydel, the Build Back Better Rural Roadshow virtual event wil...",2
460,"Please join us to make phone calls across the state of Minnesota with Former Planned Parenthood President Cecile Richards. When you sign up, you will receive a training, a phonebank list, and any other information you might need. You will receive a zoom link and directions for registering prior to t...",2
461,"Join us for a stop on the ¡Voy a Votar! Virtual Bus Tour in South Texas on Wednesday, September 30, at 5:30PM CST. Texas congressional members and special guests DNC Chairman Tom Perez and John Leguizamo will give their hot takes on the first debate and talk about voter updates in South Texas. The ...",2
462,"Please join the MN DFL, as we talk strategy for our final week of the election. We have a path to victory, and we need as many volunteers taking action on the campaign as possible. Please join the campaign on Monday at 6:00 PM virtually to ensure we are victorious on November 3rd.",2
463,Join Congressman Ruben Gallego and a special guest for a roundtable discussion about Vice President Biden’s “Build Back Better” plan and why it’s imperative the Latinx community is heard in this election. Join us and make sure to lift your voice and vote this November.,2
464,"Join us for our Weekend of Action with Vote Save America! We'll be calling voters across Minnesota to ensure that we elect Democrats at the top of the ticket, to the Senate, and within our state legislative chamber! Minnesota went blue by 16 votes per precinct, and folks are voting right now! We nee...",2
465,"¡Voy a Votar! Nuevo Mexico! Latinos for Biden Bus Tour with DNC Chairman Tom Perez, Actor Jonathan Del Arco, NM CD3 Congressional Candidate Teresa Leger Fernandez.",2
466,Join us each Thursday at 7PM Eastern Time as we discuss issue impacting Black Men and the Biden Harris plan for Black America.,2
467,"Two days before Michigan's presidential primary, big names hit the campaign trail for former Vice President Joe Biden",2
468,"Sunday, October 18th at 3 p.m. CT join Elizabeth Warren on Facebook Live for a special Get Out the Vote Event with Sen Tina Smith! You do not want to miss this opportunity to get ready for Election Day. Sign up today!",2
469,"You're invited to join us for ""Kids First: Conversations on the Biden-Harris Agenda for Early Childhood, Families, and Faith w/Jennifer Garner and Mark Kennedy Shriver,"" where we'll talk about what's at stake for Minnesota children and families this election. Tune in using the Zoom link below! https...",2
470,"Join us for this virtual stop in Maine on the national Build Back Better Rural Roadshow with House Majority Whip James E. Clyburn, Congresswoman Grace Meng, local leaders and rural community members. The event will focus on issues facing rural communities in Maine, such as rural broadband, health ca...",2
471,"Pennsylvania! Join us as the Biden for President Congressional Hispanic Caucus Virtual Bus Tour stops in Pennsylvania The bus tour stop will include a discussion about Joe Biden's agenda for the Latino community. Speakers will include DNC Chairman Tom Perez, Congressman Adriano Espaillat (NY-13), Ph...",2
472,"Pennsylvania will be the **FINAL STOP** of the Congressional Asian Pacific American Caucus (CAPAC) National AAPI Bus Tour and we're ending with a Virtual RALLY! Join us for **20 Days Out: AAPI Early Vote Rally** with special guests Andrew Yang, Ai-jen Poo, Congressman Ted Lieu, Congressman Mark Taka...",2
473,"Join Team Joe supporters from all across Colorado on Thursday, October 22 for a virtual community event before the final presidential debate! Hear from actor Jason George, actor Kelly McCreary, writer/showrunner Krista Vernoff, and local elected officials and supporters to learn how you can vote to....",2
474,Health care is on the ballot in November. Join Team Joe and Governor Tony Evers to discuss what's at stake in this election for the future of the Affordable Care Act and accessible health care in Wisconsin.,2
475,"Join this fashion panel on Tuesday, Oct. 27th at 8PM EST with AAPIs who paved the way in the industry on why representation and voting for Joe Biden/Kamala Harris matters.",2
476,"Join Jill Biden for this Virtual Roundtable in Wisconsin. Once you sign up, you will receive more information on how to join the event!",2
477,"On October 9th, join emcee Shivanthi Sathanandan along with Senator Mazie Hirono, Congressman Ami Bera, Congressman Ro Khanna, actor Ravi Patel, and Senator Foung Hawj for the MN AAPI's Assemble Bus Tour stop. You won't want to miss it!",2
478,"Join us for On the Yard, an event series with HBCU and Black Students for Biden! We'll have a conversation with a special guest about their story and why they feel young black people should be politically involved. We'll talk about the easiest ways to make a difference with Team Joe and how to mobil...",2
479,"Join us for the Congressional Hispanic Caucus Virtual Bus Tour stop in Omaha! We will be visited by Actor Jonathan Del Arco, Congressman Ruben Gallego, and DNC Chair Tom Perez. They will Rally Omaha Voters As Part Of National Congressional Hispanic Caucus Virtual Bus Tour!",2
480,Join the AAPI (Asian American Pacific Islander) of Iowa community to engage in voter outreach throughout the state of Iowa. We are taking full advantages of the virtual nature of the meeting and will begin with speakers from leaders in the state to kick off our phone banking session to voters! Here....,2
481,"Sign up today for Turn Up and Turn Out the Vote Bus Tour Launch with Senator Kamala Harris. Once you RSVP, you will receive information on how to access the virtual event.",2
482,Join Women For Biden for our national call on September 17 at 7 PM ET.,2
483,"Granite State Women for Biden-Harris is making waves in NH! Join us for our weekly engagement events every Thursday at 8pm to discuss issues facing women in NH, connect with other engaged women from across the state, and highlight what a Biden-Harris presidency will mean for Granite State women in o...",2
484,"Join Alfre Woodard, Congresswoman Karen Bass and Congressman Anthony Brown for a Congressional Black Caucus roundtable discussion about Vice President Biden’s Build Back Better plan and why it’s imperative we get out the vote in the 2020 presidential election. We’ll also discuss the importance...",2
485,"Join us as the Congressional Hispanic Caucus Virtual Bus Tour stops in Cleveland. The bus tour stop will include a discussion about Joe Biden's agenda for the Latino community. Speakers will include John Leguizamo, DNC Chair Tom Perez, Cleveland City Councilmember Jasmin Santana, and candidate for C...",2
486,"Join African Americans for Biden/Harris Colorado as we welcome the Virtual Congressional Black Caucus Tour! This event will highlight the Biden-Harris Build Back Better plan, specifically advancing racial equity and the economy for the African American community. The bus tour will kick off with Colo...",2
487,Join Stacey Abrams and elected officials throughout the State for a statewide Biden-A-Thon phone banking opportunity. Watch as elected officials and special guests call upon their constituents to thank them for their support of the Biden-Harris ticket. RSVP Zoom registration link is here: https://20...,2
488,"Join Rep. Mark Takano & Nik Dodani for a Virtual Bus Tour Stop in Arizona on Saturday, October 10th at 1:30pm AZ Time! Zoom information provided once you RSVP.",2
489,"¡Voy a Votar! Virtual Congressional Hispanic Caucus Tour is to celebrate the mission and stance of Todos con Biden campaign in Colorado. The event will include Cristela Alonzo, Secretary Ken Salazar, New Mexico Congressman Ben Ray Lujan, DNC Chair Tom Perez, Colorado State Senator Julie Gonzales, C...",2
490,"The ¡Voy a Votar! Virtual Bus Tour will make a stop in Nevada on Saturday, October 3rd. DNC Chair Tom Perez, Senator Cortez Masto, Representative García, Assemblyman Flores, and Cristela Alonzo will discuss the impact and importance of Latinx voters in this election and how you can help elect Demo...",2
491,Jill Biden will join a virtual conversation with members of Culinary Workers Union Local 226 to hear about the challenges they have faced with the impact of COVID-19 on Nevada’s tourism and hospitality industries. Event will begin at 11:45am PT,2
492,"Join Students for Biden as we talk with students on campus about the importance of voting and making sure that they know their voting options! We will have buttons, placards, Biden/Harris face masks, and voter information!",2
493,"Join us as the Biden-Harris AAPIs Assemble! Virtual Bus Tour stops in Nevada! We will check in from Las Vegas and celebrate the power of our vote. We will be joined by Congresswoman Judy Chu, Congressman Mark Takano, Congressman Ami Bera, Congresswoman Susie Lee, Assemblywoman Rochelle Nguyen, and A...",2
494,"Join Congressman Steven Horsford and African Americans for Biden/Harris Nevada as we welcome the Congressional Black Caucus! This event will highlight Biden’s Build Back Better plan, specifically advancing racial equity in the economy for the African American community.",2
495,"The Entre Familia: ¡Voy a Votar! Congressional Hispanic Caucus Virtual Bus will stop in Phoenix and Tucson for a fun event that will incorporate family, food and heritage. Join DNC Chairman Tom Perez, Congresswoman Nanette Diaz Barragan, State Representative Raquel Teran, Tucson Mayor Regina Romero...",2
496,"Join Alabama Senator Doug Jones for our virtual Rural Roadshow bus tour in Steubenville, Ohio. Learn about Joe Biden’s plan to Build Back Better for rural Ohioans and the importance of making a plan to vote early. No matter where in Ohio you live, we need your help to mobilize rural Ohioans for Jo...",2
497,"Come pick up free swag to show your support for Joe Biden when he takes the stage Tuesday night in Cleveland at the first Presidential Debate! This socially distant celebration will include a drive-thru to pick up official Joe Biden gear while supplies last, a large, drive-in screen with programming...",2
498,"Join us as we welcome the Congressional Black Caucus to Georgia as the final stop of their virtual bus tour! You'll hear from members of the Georgia Congressional Black Caucus delegation as they discuss Joe Biden’s Build Back Better plan, and how it will advance racial equity in the economy for th...",2
499,Join Latino Veterans con Biden and Congresswoman Nydia Velázquez as we celebrate the heroic contribution of the Borinqueneers and all Latinos who have served our country. We will be talking about what's at stake for Veterans and Latinos in this important election.,2
500,"Please join Biden for President, Nevada rural leaders and special guest U.S. Senator Heidi Heitkamp for the Nevada Build Back Better Rural Roadshow stop! Hear from leaders about the importance of the rural vote, how to vote in this election and more! The event will feature a message from Joe Biden.",2
501,"Join the Biden-Harris Campaign on our National AAPI Virtual Bus Tour for an exciting stop in our nation's largest battleground, Texas! We will check in from Houston, and celebrate the power of our vote. We will be joined by special guests Congresswoman Judy Chu and AAPI Congressional candidates Gina...",2
502,"Join Jill Biden and Congresswoman Gwen Moore for this ""Joe's In Your Corner"" GOTV Event. During the event they'll share why it's important for supporters in Milwaukee and across Wisconsin to mobilize and get out the vote to ensure we elect a President who will create millions of good-paying jobs and...",2
503,"October 20 is Kamala's birthday! It's also the start of in person Early voting across Wisconsin. Join Senator Kamala Harris, Congresswoman Gwen Moore and other elected officials from Milwaukee to celebrate her birthday and the start of in person early voting!",2
504,"Join the Biden Harris Presidential Campaign for a rural Texas stop on the Build Back Better Virtual Bus Tour. We'll discuss issues of importance to Texas farmers and ranchers, as well as how you can vote in Texas this year. The event will be moderated by Mike Collier and features former Governor of....",2
505,"Join Biden for President as we kick off The Luchadores in support of Joe Biden and Kamala Harris featuring George Lopez, Al Madrigal and Latino leaders from across the country. The virtual roundtable moderated by Senior Advisor Cristobal Alex, is a conversation among Latino men that speaks directly....",2
506,"On October 10th, The Aspire PAC Virtual Bus Tour Makes a stop in Atlanta, Georgia! Join Rep. Sam Park will join actor Ravi Patel & Congresswoman Grace Meng to play Georgia AAPI Margin of Victory Trivia! Hosted by Lillie Madali With a Young Asian American Phone Bank afterwards! You won't want to miss...",2
507,"Nevada Con Biden and in partnership with Latino Victory Fund invite you to join Nevada Senator Catherine Cortez Masto, Actress and Singer, Angélica María, Nathalie Rayes, President and CEO of Latino Victory, and La DREAMer, Astrid Silva for a Comadre a Comadre Charla to energize and mobilize the L...",1
508,"Michelle Kwan, Aasif Mandiv, and Congresswoman Stephanie Murphy from Florida's 7th District will be making a virtual visit to North Carolina to meet with local AAPI elected officials and leaders to discuss the importance of mobilizing the AAPI Community to vote for Vice President Joe Biden and Senat...",1
509,"Join Congressman Al Lawson and Jim Clyburn, who will address the African American rural community in Gadsden County regarding VP Biden BBB rural plan about healthcare disparities, access to broadband, and economic opportunity. With them, local elected officials and community members will amplify the...",1
510,Join Congressmembers Evans and Plaskett for the Biden for President Congressional Black Caucus Virtual Bus Tour. This Turn Up and Turn Out Pennsylvania stop will be moderated by One Hood Media's Jasiri X and will focus on mobilizing African-American voters. Join us to hear about Joe Biden’s Build ...,1
511,"Front Posted on Oct 19, 2020 Posted on Oct 19, 2020 Democrats’ ‘Early Vote Express’ makes stop in Charles City Pam Johnson, a farmer near Floyd who is also former President of the National Corn Growers Association, encourages people to vote as the “Early Vote Express” bus made a campaign s...",1
512,"Join Ohio Women For Biden for a virtual Eve of Early Vote Rally on Monday, October 5 at 6 PM. Women of all ages, races, faiths, backgrounds, and careers will talk about why Joe Biden and Kamala Harris are the strongest ticket to address women's issues in this race. The event will feature actress, au...",1
513,"On October 15th, join Sen. Tina Smith and Sen. Heidi Heitkamp as they talk with rural community leaders about the challenges facing their communities.",1
514,Join Team NC for our Carolina Rural Roadshow with Rep. Jim Clyburn and Rep. Grace Meng! Rep. Clyburn and Rep. Meng will speak on the importance of rural voters turning out and voting for Joe Biden. This event will also include state leaders on rural issues like former Congressman Bob Ethridge and Re...,1
515,"Join us for a virtual celebration in honor of Senator Kamala Harris's birthday on Tuesday, October 20 from 6:00-7:00 p.m. (MDT) with special guests DJ Simone, Colorado State Representative Leslie Herod and more!",1
516,"Join Biden for President, rural leaders from Northeast Wisconsin, and other special guests for the Wisconsin Build Back Better Rural Roadshow! Hear from leaders about the importance of the rural vote, how to vote in this election and more! This virtual event will feature a message from Joe Biden.",1
517,"Join us on Saturday, October 3rd at 3PM for Turn Up and Turn Out the Vote, a virtual bus stop in Richmond, VA with CBC members Rep Bobby Scott and Rep A Donald McEachin, President Pro tempore Louise Lucas, and Anjelika Washington (Comics Stargirl on the CW and Tall Girl on Netflix). Music by DJ Lonn...",1
518,"Join the Biden-Harris Campaign on our National AAPI Virtual Bus Tour for an entertaining and colorful stop in the beautiful state of Virginia! We will check in from iconic AAPI sites across Virginia, celebrate the history of Filipino Americans, and ""Bhangra"" our way to GET OUT THE VOTE! Ravi Chaudha...",1
519,"Join us as the AAPI Assemble virtual bus tour stops in Wisconsin! Wisconsin is kicking off the AAPIs Assemble Bus Tour across the battleground states. Hear from Andrew Yang and enjoy a lively conversation with Ted Lieu and Tan France. Then, find out how you can get involved turning out AAPI voters i...",1
520,"Join Biden for President for a national HBCU Homecoming Rally! This rally will cap off a week of events with students and alumni to celebrate the history of civic engagement and political activism at historically black colleges and universities across the country. The rally, hosted by Tiffany Haddis...",1
521,"Nevada Con Biden - in partnership with Latino Victory Fund - invites you to join Nevada Senator Catherine Cortez Masto, Actress and Singer Angélica María, President and CEO of Latino Victory Nathalie Rayes, and La DREAMer Astrid Silva for a Comadre a Comadre Charla to energize and mobilize the Lat...",1
